2025-12-10 13:14:58 [GPU-PF] Error: 0.96 m | StdDev: 4.52 m | Neff: 1023 | ResRaw[Mean:-0.0 Std:3.2] | Meas[N:10000 Mean:-110.6 Std:0.7] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 0.85 m | StdDev: 4.52 m | Neff: 954 | ResRaw[Mean:0.0 Std:3.2] | Meas[N:10000 Mean:-110.2 Std:0.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 0.85 m | StdDev: 4.51 m | Neff: 1995 | ResRaw[Mean:0.0 Std:3.0] | Meas[N:10000 Mean:-110.4 Std:0.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 0.90 m | StdDev: 4.50 m | Neff: 1978 | ResRaw[Mean:0.0 Std:3.1] | Meas[N:10000 Mean:-110.5 Std:0.7] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.04 m | StdDev: 4.49 m | Neff: 1942 | ResRaw[Mean:0.0 Std:3.2] | Meas[N:10000 Mean:-110.6 Std:1.0] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.10 m | StdDev: 4.47 m | Neff: 1929 | ResRaw[Mean:-0.0 Std:3.1] | Meas[N:10000 Mean:-110.9 Std:0.5] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.16 m | StdDev: 4.47 m | Neff: 1924 | ResRaw[Mean:-0.0 Std:3.0] | Meas[N:10000 Mean:-110.9 Std:0.4] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.24 m | StdDev: 4.47 m | Neff: 1920 | ResRaw[Mean:-0.0 Std:3.0] | Meas[N:10000 Mean:-110.9 Std:0.3] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.28 m | StdDev: 4.46 m | Neff: 1920 | ResRaw[Mean:-0.0 Std:3.0] | Meas[N:10000 Mean:-110.3 Std:0.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.39 m | StdDev: 4.46 m | Neff: 1918 | ResRaw[Mean:0.0 Std:3.0] | Meas[N:10000 Mean:-110.0 Std:0.2] | Diff[Mean:0.0 Std:0.0]
